Index([u'Genero', u'Edad', u'Dpr', u'DIRA', u'CausaDIRA', u'Modo',
       u'TAS_antes', u'TAD_antes', u'FC_antes', u'TAS', u'TAD', u'FC',
       u'FR_antes', u'FiO2_antes', u'FiO2', u'PEEP', u'Temp', u'dVM', u'Hb',
       u'Clase'],
      dtype='object')
('DNN[5, 5]', {'average_loss': 0.8434743, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 37.11287})
('DNN[5, 6]', {'average_loss': 0.84031695, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.973946})
('DNN[5, 7]', {'average_loss': 0.8824114, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 38.826103})
('DNN[5, 8]', {'average_loss': 0.82214683, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.17446})
('DNN[5, 9]', {'average_loss': 0.8542206, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 37.58571})
('DNN[5, 10]', {'average_loss': 0.9711046, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 42.728603})
('DNN[6, 5]', {'average_loss': 0.84534746, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.19529})
('DNN[6, 6]', {'average_loss': 0.8152698, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 35.871872})
('DNN[6, 7]', {'average_loss': 0.83036727, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.53616})
('DNN[6, 8]', {'average_loss': 0.81427175, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.827957})
('DNN[6, 9]', {'average_loss': 0.84582084, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.216118})
('DNN[6, 10]', {'average_loss': 0.82186145, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.161903})
('DNN[7, 5]', {'average_loss': 0.83583, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.77652})
('DNN[7, 6]', {'average_loss': 0.83644885, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.80375})
('DNN[7, 7]', {'average_loss': 1.1957345, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 52.612316})
('DNN[7, 8]', {'average_loss': 0.8442556, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.147247})
('DNN[7, 9]', {'average_loss': 0.8084272, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.570797})
('DNN[7, 10]', {'average_loss': 0.8660139, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.10461})
('DNN[8, 5]', {'average_loss': 0.74819255, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 32.92047})
('DNN[8, 6]', {'average_loss': 0.83781564, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.863888})
('DNN[8, 7]', {'average_loss': 0.82644343, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.36351})
('DNN[8, 8]', {'average_loss': 0.85705054, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 37.710224})
('DNN[8, 9]', {'average_loss': 0.8413341, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.0187})
('DNN[8, 10]', {'average_loss': 0.7696238, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 33.86345})
('DNN[9, 5]', {'average_loss': 0.8408083, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.995564})
('DNN[9, 6]', {'average_loss': 0.71419525, 'accuracy': 0.77272725, 'global_step': 500, 'loss': 31.424591})
('DNN[9, 7]', {'average_loss': 0.81230265, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.741318})
('DNN[9, 8]', {'average_loss': 0.83231074, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.621674})
('DNN[9, 9]', {'average_loss': 0.8252123, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.30934})
('DNN[9, 10]', {'average_loss': 0.85592324, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.66062})
('DNN[10, 5]', {'average_loss': 0.88227123, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.819935})
('DNN[10, 6]', {'average_loss': 0.8119164, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.724323})
('DNN[10, 7]', {'average_loss': 0.79273516, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 34.88035})
('DNN[10, 8]', {'average_loss': 0.8500653, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.402874})
('DNN[10, 9]', {'average_loss': 0.8352652, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.75167})
('DNN[10, 10]', {'average_loss': 0.90831655, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 39.965927})
('DNN[6, 5, 5]', {'average_loss': 0.86570764, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 38.091137})
('DNN[6, 5, 6]', {'average_loss': 0.88373846, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 38.88449})
('DNN[6, 5, 7]', {'average_loss': 0.75220644, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 33.097084})
('DNN[6, 5, 8]', {'average_loss': 0.8423117, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.061714})
('DNN[6, 5, 9]', {'average_loss': 0.83034015, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.534966})
('DNN[6, 5, 10]', {'average_loss': 0.7638037, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 33.607365})
('DNN[6, 6, 5]', {'average_loss': 0.84832054, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 37.326103})
('DNN[6, 6, 6]', {'average_loss': 0.82805496, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.434418})
('DNN[6, 6, 7]', {'average_loss': 0.80985224, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 35.6335})
('DNN[6, 6, 8]', {'average_loss': 0.8395153, 'accuracy': 0.52272725, 'global_step': 500, 'loss': 36.938675})
('DNN[6, 6, 9]', {'average_loss': 0.83948076, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.937153})
('DNN[6, 6, 10]', {'average_loss': 1.0492982, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 46.16912})
('DNN[6, 7, 5]', {'average_loss': 0.84990746, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.395927})
('DNN[6, 7, 6]', {'average_loss': 0.8369007, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.82363})
('DNN[6, 7, 7]', {'average_loss': 0.9068918, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 39.90324})
('DNN[6, 7, 8]', {'average_loss': 0.8897791, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 39.15028})
('DNN[6, 7, 9]', {'average_loss': 0.83828455, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.88452})
('DNN[6, 7, 10]', {'average_loss': 0.8761704, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 38.5515})
('DNN[6, 8, 5]', {'average_loss': 0.83429945, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.709175})
('DNN[6, 8, 6]', {'average_loss': 0.83789134, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 36.867218})
('DNN[6, 8, 7]', {'average_loss': 0.8406325, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.98783})
('DNN[6, 8, 8]', {'average_loss': 0.8961859, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 39.43218})
('DNN[6, 8, 9]', {'average_loss': 0.8089943, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 35.59575})
('DNN[6, 8, 10]', {'average_loss': 0.80630535, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.477436})
('DNN[6, 9, 5]', {'average_loss': 0.783539, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 34.475716})
('DNN[6, 9, 6]', {'average_loss': 0.82124287, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.134686})
('DNN[6, 9, 7]', {'average_loss': 0.8187756, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.026127})
('DNN[6, 9, 8]', {'average_loss': 0.8389938, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.915726})
('DNN[6, 9, 9]', {'average_loss': 0.82338065, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.22875})
('DNN[6, 9, 10]', {'average_loss': 0.8573715, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 37.724346})
('DNN[6, 10, 5]', {'average_loss': 0.9506576, 'accuracy': 0.52272725, 'global_step': 500, 'loss': 41.828934})
('DNN[6, 10, 6]', {'average_loss': 0.87893957, 'accuracy': 0.52272725, 'global_step': 500, 'loss': 38.67334})
('DNN[6, 10, 7]', {'average_loss': 0.83418655, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.70421})
('DNN[6, 10, 8]', {'average_loss': 0.86758405, 'accuracy': 0.54545456, 'global_step': 500, 'loss': 38.1737})
('DNN[6, 10, 9]', {'average_loss': 0.9402225, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 41.36979})
('DNN[6, 10, 10]', {'average_loss': 1.0314838, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 45.38529})
('DNN[7, 5, 5]', {'average_loss': 0.84122187, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 37.013763})
('DNN[7, 5, 6]', {'average_loss': 0.87755334, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 38.612347})
('DNN[7, 5, 7]', {'average_loss': 0.8148283, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.852444})
('DNN[7, 5, 8]', {'average_loss': 0.8250219, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.300964})
('DNN[7, 5, 9]', {'average_loss': 0.78309953, 'accuracy': 0.5, 'global_step': 500, 'loss': 34.45638})
('DNN[7, 5, 10]', {'average_loss': 0.8285825, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.45763})
('DNN[7, 6, 5]', {'average_loss': 0.85114187, 'accuracy': 0.5, 'global_step': 500, 'loss': 37.45024})
('DNN[7, 6, 6]', {'average_loss': 0.8389938, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.915726})
('DNN[7, 6, 7]', {'average_loss': 0.83718103, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.835964})
('DNN[7, 6, 8]', {'average_loss': 0.83899426, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.91575})
('DNN[7, 6, 9]', {'average_loss': 0.8559328, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.66104})
('DNN[7, 6, 10]', {'average_loss': 0.8285072, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.454315})
('DNN[7, 7, 5]', {'average_loss': 0.834631, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.723766})
('DNN[7, 7, 6]', {'average_loss': 0.8395868, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.94182})
('DNN[7, 7, 7]', {'average_loss': 0.81811595, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 35.9971})
('DNN[7, 7, 8]', {'average_loss': 0.83654094, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.8078})
('DNN[7, 7, 9]', {'average_loss': 0.82294065, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.20939})
('DNN[7, 7, 10]', {'average_loss': 0.9298988, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 40.915546})
('DNN[7, 8, 5]', {'average_loss': 0.8261877, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.352257})
('DNN[7, 8, 6]', {'average_loss': 0.728042, 'accuracy': 0.75, 'global_step': 500, 'loss': 32.033848})
('DNN[7, 8, 7]', {'average_loss': 0.72527796, 'accuracy': 0.70454544, 'global_step': 500, 'loss': 31.912231})
('DNN[7, 8, 8]', {'average_loss': 0.75449824, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 33.19792})
('DNN[7, 8, 9]', {'average_loss': 0.90818673, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 39.960217})
('DNN[7, 8, 10]', {'average_loss': 0.8404333, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.979065})
('DNN[7, 9, 5]', {'average_loss': 0.8301304, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.525738})
('DNN[7, 9, 6]', {'average_loss': 0.7572065, 'accuracy': 0.72727275, 'global_step': 500, 'loss': 33.317085})
('DNN[7, 9, 7]', {'average_loss': 0.80412173, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 35.381355})
('DNN[7, 9, 8]', {'average_loss': 0.86069906, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 37.870758})
('DNN[7, 9, 9]', {'average_loss': 0.77779174, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 34.222836})
('DNN[7, 9, 10]', {'average_loss': 0.84102815, 'accuracy': 0.5, 'global_step': 500, 'loss': 37.005238})
('DNN[7, 10, 5]', {'average_loss': 0.839605, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.94262})
('DNN[7, 10, 6]', {'average_loss': 0.8395962, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.942234})
('DNN[7, 10, 7]', {'average_loss': 0.8347137, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.7274})
('DNN[7, 10, 8]', {'average_loss': 0.840661, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.989082})
('DNN[7, 10, 9]', {'average_loss': 0.87105584, 'accuracy': 0.72727275, 'global_step': 500, 'loss': 38.326458})
('DNN[7, 10, 10]', {'average_loss': 0.8712127, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 38.33336})
('DNN[8, 5, 5]', {'average_loss': 0.8386584, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.90097})
('DNN[8, 5, 6]', {'average_loss': 0.84408396, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.139694})
('DNN[8, 5, 7]', {'average_loss': 0.88032037, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 38.734097})
('DNN[8, 5, 8]', {'average_loss': 0.7835234, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 34.47503})
('DNN[8, 5, 9]', {'average_loss': 0.84690803, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.263954})
('DNN[8, 5, 10]', {'average_loss': 0.83853155, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.89539})
('DNN[8, 6, 5]', {'average_loss': 0.8624462, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 37.94763})
('DNN[8, 6, 6]', {'average_loss': 0.9674339, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 42.567093})
('DNN[8, 6, 7]', {'average_loss': 0.8943821, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 39.352814})
('DNN[8, 6, 8]', {'average_loss': 0.82219064, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 36.176388})
('DNN[8, 6, 9]', {'average_loss': 0.7834926, 'accuracy': 0.6818182, 'global_step': 500, 'loss': 34.473675})
('DNN[8, 6, 10]', {'average_loss': 0.86386776, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 38.01018})
('DNN[8, 7, 5]', {'average_loss': 0.8538988, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 37.57155})
('DNN[8, 7, 6]', {'average_loss': 0.83958226, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.94162})
('DNN[8, 7, 7]', {'average_loss': 0.8430899, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 37.095955})
('DNN[8, 7, 8]', {'average_loss': 0.83364016, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.68017})
('DNN[8, 7, 9]', {'average_loss': 0.8014141, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.26222})
('DNN[8, 7, 10]', {'average_loss': 0.8407848, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.99453})
('DNN[8, 8, 5]', {'average_loss': 0.98111254, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 43.168953})
('DNN[8, 8, 6]', {'average_loss': 0.84042376, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.978645})
('DNN[8, 8, 7]', {'average_loss': 0.8290457, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.478012})
('DNN[8, 8, 8]', {'average_loss': 0.88492775, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.93682})
('DNN[8, 8, 9]', {'average_loss': 0.80200475, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.288208})
('DNN[8, 8, 10]', {'average_loss': 0.8052662, 'accuracy': 0.6363636, 'global_step': 500, 'loss': 35.431713})
('DNN[8, 9, 5]', {'average_loss': 0.8909568, 'accuracy': 0.52272725, 'global_step': 500, 'loss': 39.2021})
('DNN[8, 9, 6]', {'average_loss': 0.8373219, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 36.842163})
('DNN[8, 9, 7]', {'average_loss': 0.834882, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.73481})
('DNN[8, 9, 8]', {'average_loss': 0.7606468, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 33.46846})
('DNN[8, 9, 9]', {'average_loss': 0.89659846, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 39.450333})
('DNN[8, 9, 10]', {'average_loss': 1.1488429, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 50.549088})
('DNN[8, 10, 5]', {'average_loss': 0.83105063, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.566227})
('DNN[8, 10, 6]', {'average_loss': 0.95019686, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 41.808662})
('DNN[8, 10, 7]', {'average_loss': 0.86294955, 'accuracy': 0.5681818, 'global_step': 500, 'loss': 37.96978})
('DNN[8, 10, 8]', {'average_loss': 0.83081037, 'accuracy': 0.65909094, 'global_step': 500, 'loss': 36.555656})
('DNN[8, 10, 9]', {'average_loss': 0.8442592, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.147404})
('DNN[8, 10, 10]', {'average_loss': 0.82488704, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.29503})
('DNN[9, 5, 5]', {'average_loss': 0.8417894, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 37.038734})
('DNN[9, 5, 6]', {'average_loss': 0.87074435, 'accuracy': 0.59090906, 'global_step': 500, 'loss': 38.31275})
('DNN[9, 5, 7]', {'average_loss': 0.82753444, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 36.411514})
('DNN[9, 5, 8]', {'average_loss': 0.8966217, 'accuracy': 0.6136364, 'global_step': 500, 'loss': 39.451355})
